time,open,high,low,close,tick_volume,spread,real_volume
2025-02-21 19:00:00,1.0454,1.04578,1.04493,1.04511,2792,0,0
2025-02-21 19:30:00,1.0451,1.0457,1.04496,1.04547,2228,0,0
2025-02-21 20:00:00,1.04546,1.04588,1.04519,1.04584,2135,0,0
2025-02-21 20:30:00,1.04586,1.04642,1.04555,1.0463,2130,0,0
2025-02-21 21:00:00,1.04629,1.04678,1.04549,1.0457,3499,0,0
2025-02-21 21:30:00,1.04571,1.04621,1.04508,1.04598,2937,0,0
2025-02-21 22:00:00,1.04597,1.04658,1.04571,1.0464,2671,0,0
2025-02-21 22:30:00,1.04639,1.04665,1.04603,1.0462,2748,0,0
2025-02-21 23:00:00,1.04619,1.04645,1.04608,1.04613,2040,0,0
2025-02-21 23:30:00,1.04613,1.04629,1.04574,1.04606,2054,0,0
2025-02-22 00:00:00,1.04607,1.0462,1.04587,1.04594,1096,0,0
2025-02-22 00:30:00,1.04594,1.04607,1.04583,1.04592,726,0,0
2025-02-24 01:00:00,1.04676,1.04686,1.04611,1.04645,492,0,0
2025-02-24 01:30:00,1.04644,1.04794,1.04644,1.04746,1490,0,0
2025-02-24 02:00:00,1.04745,1.04845,1.0471,1.04797,1450,0,0
2025-02-24 02:30:00,1.04794,1.04817,1.04731,1.04738,1337,0,0
2025-02-24 03:00:00,1.04739,1.04986,1.04716,1.04969,2057,0,0
2025-02-24 03:30:00,1.0497,1.05072,1.04905,1.05041,3025,0,0
2025-02-24 04:00:00,1.05042,1.05123,1.05028,1.0508,3739,0,0
2025-02-24 04:30:00,1.05082,1.05208,1.05022,1.0518,3341,0,0
2025-02-24 05:00:00,1.05178,1.05242,1.05155,1.05192,3260,0,0
2025-02-24 05:30:00,1.05191,1.05283,1.05191,1.05227,2836,0,0
2025-02-24 06:00:00,1.05227,1.05258,1.05186,1.05191,1994,0,0
2025-02-24 06:30:00,1.05191,1.05219,1.05163,1.05194,1547,0,0
2025-02-24 07:00:00,1.05193,1.05206,1.05123,1.05127,1474,0,0
2025-02-24 07:30:00,1.05126,1.05159,1.05113,1.05156,1248,0,0
2025-02-24 08:00:00,1.05156,1.05161,1.051,1.05151,1889,0,0
2025-02-24 08:30:00,1.05151,1.05196,1.05127,1.05164,1779,0,0
