time,open,high,low,close,tick_volume,spread,real_volume
2025-03-18 03:45:00,1.09197,1.09205,1.09179,1.0918,237,0,0
2025-03-18 04:00:00,1.09179,1.09197,1.09174,1.09192,647,0,0
2025-03-18 04:15:00,1.09193,1.09209,1.09186,1.09189,560,0,0
2025-03-18 04:30:00,1.09189,1.09193,1.0915,1.09151,537,0,0
2025-03-18 04:45:00,1.09152,1.09174,1.09149,1.0916,763,0,0
2025-03-18 05:00:00,1.09159,1.09192,1.09155,1.09178,650,0,0
2025-03-18 05:15:00,1.09177,1.0918,1.09149,1.09162,752,0,0
2025-03-18 05:30:00,1.09163,1.09163,1.09139,1.09145,801,0,0
2025-03-18 05:45:00,1.09145,1.09148,1.09121,1.09132,820,0,0
2025-03-18 06:00:00,1.09133,1.0916,1.09133,1.09134,721,0,0
2025-03-18 06:15:00,1.09131,1.09131,1.09079,1.0908,798,0,0
2025-03-18 06:30:00,1.0908,1.091,1.09079,1.09091,399,0,0
2025-03-18 06:45:00,1.09092,1.09107,1.09084,1.09086,504,0,0
2025-03-18 07:00:00,1.09086,1.09111,1.0908,1.0909,486,0,0
2025-03-18 07:15:00,1.09092,1.09102,1.09077,1.0908,427,0,0
2025-03-18 07:30:00,1.09079,1.0909,1.09063,1.09073,293,0,0
2025-03-18 07:45:00,1.09072,1.09091,1.09068,1.09083,288,0,0
2025-03-18 08:00:00,1.09083,1.09106,1.09078,1.09104,361,0,0
2025-03-18 08:15:00,1.09104,1.09107,1.09094,1.09099,308,0,0
2025-03-18 08:30:00,1.09099,1.09113,1.09093,1.09112,358,0,0
2025-03-18 08:45:00,1.0911,1.09115,1.09106,1.0911,310,0,0
2025-03-18 09:00:00,1.09109,1.09123,1.091,1.09109,381,0,0
2025-03-18 09:15:00,1.0911,1.09121,1.091,1.09103,323,0,0
2025-03-18 09:30:00,1.09101,1.09122,1.09101,1.09117,314,0,0
2025-03-18 09:45:00,1.09117,1.09133,1.09072,1.09078,564,0,0
2025-03-18 10:00:00,1.09079,1.09116,1.09067,1.09067,880,0,0
2025-03-18 10:15:00,1.09067,1.09081,1.09035,1.09038,828,0,0
2025-03-18 10:30:00,1.0904,1.09083,1.09038,1.09072,605,0,0
2025-03-18 10:45:00,1.09071,1.09212,1.09071,1.09207,1082,0,0
2025-03-18 11:00:00,1.09206,1.09225,1.09163,1.09176,1521,0,0
2025-03-18 11:15:00,1.09174,1.09211,1.09167,1.09189,1031,0,0
2025-03-18 11:30:00,1.09192,1.09282,1.09192,1.09266,1221,0,0
2025-03-18 11:45:00,1.09266,1.09365,1.09234,1.09351,1496,0,0
2025-03-18 12:00:00,1.09351,1.0948,1.09329,1.0947,1590,0,0
2025-03-18 12:15:00,1.09471,1.09545,1.09465,1.09522,1943,0,0
2025-03-18 12:30:00,1.09519,1.09539,1.09481,1.09506,1385,0,0
2025-03-18 12:45:00,1.09507,1.09539,1.09486,1.09514,1149,0,0
